analisis,umbral_vix,cartera,indice_asignado,regimen_activacion,capital_inicial_usd,capital_final_usd,rendimiento_acumulado_pct,rendimiento_anual_compuesto_pct,maxima_caida_acumulada_cierres_mensuales_pct,estado,meses_esperados,meses_capitalizados,primer_mes_incompleto,motivo_incompleta,simulacion,supuestos
principal,,SIEMPRE_SPY,SPY,siempre,10000,67513.0248469443,575.130248469443,10.6227057136331,-50.7976275181017,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,,SIEMPRE_PUT,PUT,siempre,10000,35452.0047182343,254.520047182343,6.91924939997015,-32.6573631306724,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,,SIEMPRE_CNDR,CNDR,siempre,10000,10990.6011805834,9.90601180583417,0.500572273518274,-18.9568565454638,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,,SIEMPRE_PPUT,PPUT,siempre,10000,43177.2610695436,331.772610695436,8.03930128712165,-38.9154386035072,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,30,PUT_VIX_ALTO_30,PUT,alto,10000,61313.6098004291,513.136098004291,10.0608754883968,-45.385598043274,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,30,CNDR_VIX_ALTO_30,CNDR,alto,10000,55433.8569519987,454.338569519987,9.47589574265599,-30.9358098801979,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
principal,30,PPUT_VIX_ALTO_30,PPUT,alto,10000,70971.1907053457,609.711907053457,10.9152145910125,-36.7049313015081,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
sensibilidad,25,PUT_VIX_ALTO_25,PUT,alto,10000,61104.5323750061,511.045323750061,10.0410035185596,-43.1366883133967,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
sensibilidad,25,CNDR_VIX_ALTO_25,CNDR,alto,10000,46483.8523731004,364.838523731004,8.46156900256028,-28.4551043921928,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
sensibilidad,25,PPUT_VIX_ALTO_25,PPUT,alto,10000,64505.1802116821,545.051802116821,10.3565085994872,-38.5026809632914,completa,227,227,,,Simulación teórica con índices,Sin costos adicionales de rotación ni impuestos; SPY usa adjClose sin sumar dividendos
